6;0.01315458641875033585;0.09949949949949954409
8;0.00734163906877788319;0.07092807092807093539
10;0.00466047094514615567;0.05505505505505509795
12;0.00321549436111490117;0.04495404495404492495
14;0.00235042118949302381;0.03796103796103800221
16;0.00179201060475331353;0.03283283283283283671
18;0.00141161917123511227;0.02891126420538187372
20;0.00114035311149696117;0.02581528897318371985
22;0.00093991878322868816;0.02330902330902329470
24;0.00078858563446343455;0.02123862993428210499
26;0.00067096392185655995;0.01949949949949952854
28;0.00057769403867946600;0.01801801801801802827
30;0.00050235931215208973;0.01674087880984437282
32;0.00044093015673907221;0.01562853175756401258
34;0.00039058903291816494;0.01465101465101464884
36;0.00034758341087959277;0.01378521378521377350
38;0.00031216584579274453;0.01301301301301305280
40;0.00028091908065386306;0.01232001232001231350
42;0.00025521323131216800;0.01169462145071903381
44;0.00023211745453449728;0.01112740647624371575
46;0.00021218197745809242;0.01061061061061063793
48;0.00019509498788233826;0.01013779737183992738
50;0.00018023910617701033;0.00972060921998344190
52;0.00016538322447168241;0.00930342106812695642
54;0.00015378720760411690;0.00893346176365045208
56;0.00014311044246106963;0.00859040859040858043
58;0.00013325801284264083;0.00827142932406094156
60;0.00012414763616586111;0.00797407577068592888
